Name,lon,lat
Albania,19.819335937499996,41.343824581185686
Algeria,3.076171875,36.80928470205937
Argentina,-58.447265625,-34.56085936708384
Armenia,44.51213836669922,40.17834869182105
Aruza,-69.98067855834961,12.513173659304915
Azerbaijan,49.80102539062499,40.38839687388361
Belarusia,27.5537109375,54.03358633521085
Belgium,4.3890380859375,50.875311142200765
Bolivia,-63.17138671875,-17.769612247142653
Brasil,-47.9443359375,-15.707662769583505
Bulgaria,23.323974609375,42.71473218539458
Chile,-70.6640625,-33.35806161277886
Czekh Republic,14.425048828125,50.0923932109388
Democratic Republic of Kongo,16.259765625,0.856901647439813
Denmark,12.527160644531248,55.68997171381322
England,-0.15380859375,51.481382896100975
Estonia,24.719238281249996,59.439489583059725
Finland,24.9169921875,60.19615576604439
France,2.373046875,48.951366470947725
Georgia,44.80224609375,41.68111756290652
Germany,13.38134765625,52.549636074382285
Ghana,-0.230712890625,5.5831841119897
Greece,23.70849609375,38.03078569382294
Guadeloupe,-61.71844482421874,16.309595517742196
Haiti,-72.279052734375,18.521283325496277
Hungary,19.039306640625,47.517200697839414
Iceland,-21.9287109375,64.14895190024562
India,77.16796875,28.729130483430154
Indonesia,106.787109375,-6.053161295714067
Iran,59.58984374999999,36.35052700542763
Ireland,-6.295166015625,53.330872983017066
Italy,12.5244140625,41.934976500546604
Kyrgyzstan,74.59716796875,42.84375132629021
Mali,-3.076171875,16.762467717941604
Mongolia,106.962890625,47.96050238891509
Netherlands,4.921875,52.38901106223458
Norway,10.72265625,59.93300042374631
Poland,21.02783203125,52.25470880113083
Portugal,-9.0966796875,38.75408327579141
Romania,26.103515625,44.449467536006935
Russia,37.353515625,55.7765730186677
São Tomé e Príncipe,6.481933593749999,0.26916404901271473
Scotland,-3.18603515625,55.95535088453652
Senegal,-17.138671875,14.764259178591587
Serbia,20.456542968749996,44.81691551782855
Slovakia,17.13043212890625,48.14959568930188
Somalia,45.24169921875,4.762572524280281
South Africa,18.5009765625,-33.97980872872456
Spain,-3.6035156249999996,40.48038142908172
Surinam,-55.18432617187499,5.8236866460048295
Switserland,7.459716796875001,46.9502622421856
Thailand,100.5029296875,13.795406203132826
Ukraine,30.585937499999996,50.51342652633956
Uruguay,-56.18408203125,-34.88593094075315
Vietman,106.61132812499999,10.790140750321738
Zambia,28.23486328125,-15.368949896534705
